GEOID,NAME,variable,estimate,moe,city,state
1921000,"Des Moines city, Iowa",C16002_004,1680,287,Des Moines,IA
1921000,"Des Moines city, Iowa",C16002_007,377,186,Des Moines,IA
1921000,"Des Moines city, Iowa",C16002_010,1265,243,Des Moines,IA
1921000,"Des Moines city, Iowa",C16002_013,456,178,Des Moines,IA
1714000,"Chicago city, Illinois",B01003_001,2722586,69,Chicago,IL
1714000,"Chicago city, Illinois",B03002_003,890322,5039,Chicago,IL
1714000,"Chicago city, Illinois",B03002_012,789713,4417,Chicago,IL
1714000,"Chicago city, Illinois",B11016_001,1046789,3398,Chicago,IL
1714000,"Chicago city, Illinois",B17021_002,550432,8675,Chicago,IL
1714000,"Chicago city, Illinois",B19013_001,52497,491,Chicago,IL
1714000,"Chicago city, Illinois",C16002_004,48310,1275,Chicago,IL
1714000,"Chicago city, Illinois",C16002_007,22126,958,Chicago,IL
1714000,"Chicago city, Illinois",C16002_010,13173,715,Chicago,IL
1714000,"Chicago city, Illinois",C16002_013,4638,552,Chicago,IL
4748000,"Memphis city, Tennessee",B01003_001,654723,104,Memphis,TN
4748000,"Memphis city, Tennessee",B03002_003,170708,2283,Memphis,TN
4748000,"Memphis city, Tennessee",B03002_012,45741,1276,Memphis,TN
4748000,"Memphis city, Tennessee",B11016_001,250259,1570,Memphis,TN
4748000,"Memphis city, Tennessee",B17021_002,172031,4976,Memphis,TN
4748000,"Memphis city, Tennessee",B19013_001,38230,626,Memphis,TN
4748000,"Memphis city, Tennessee",C16002_004,3834,430,Memphis,TN
4748000,"Memphis city, Tennessee",C16002_007,454,169,Memphis,TN
4748000,"Memphis city, Tennessee",C16002_010,1011,279,Memphis,TN
4748000,"Memphis city, Tennessee",C16002_013,471,148,Memphis,TN
4827000,"Fort Worth city, Texas",B01003_001,835129,155,Fort Worth,TX
4827000,"Fort Worth city, Texas",B03002_003,336135,3474,Fort Worth,TX
4827000,"Fort Worth city, Texas",B03002_012,290354,3349,Fort Worth,TX
4827000,"Fort Worth city, Texas",B11016_001,284687,1815,Fort Worth,TX
4827000,"Fort Worth city, Texas",B17021_002,138420,4389,Fort Worth,TX
4827000,"Fort Worth city, Texas",B19013_001,57309,745,Fort Worth,TX
4827000,"Fort Worth city, Texas",C16002_004,17361,990,Fort Worth,TX
4827000,"Fort Worth city, Texas",C16002_007,1310,300,Fort Worth,TX
4827000,"Fort Worth city, Texas",C16002_010,1673,256,Fort Worth,TX
4827000,"Fort Worth city, Texas",C16002_013,1002,273,Fort Worth,TX
4967000,"Salt Lake City city, Utah",B01003_001,194188,55,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",B03002_003,127943,2272,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",B03002_012,41439,1936,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",B11016_001,76876,844,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",B17021_002,33750,1959,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",B19013_001,54009,1432,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",C16002_004,2052,352,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",C16002_007,793,194,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",C16002_010,636,146,Salt Lake City,UT
4967000,"Salt Lake City city, Utah",C16002_013,254,113,Salt Lake City,UT
5010675,"Burlington city, Vermont",B01003_001,42453,34,Burlington,VT
5010675,"Burlington city, Vermont",B03002_003,35112,560,Burlington,VT
5010675,"Burlington city, Vermont",B03002_012,1214,205,Burlington,VT
5010675,"Burlington city, Vermont",B11016_001,16067,354,Burlington,VT
5010675,"Burlington city, Vermont",B17021_002,8736,749,Burlington,VT
5010675,"Burlington city, Vermont",B19013_001,47140,4192,Burlington,VT
5010675,"Burlington city, Vermont",C16002_004,0,20,Burlington,VT
5010675,"Burlington city, Vermont",C16002_007,238,99,Burlington,VT
5010675,"Burlington city, Vermont",C16002_010,134,80,Burlington,VT
5010675,"Burlington city, Vermont",C16002_013,41,38,Burlington,VT
4261000,"Pittsburgh city, Pennsylvania",B01003_001,305012,65,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",B03002_003,197215,1630,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",B03002_012,8985,719,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",B11016_001,134820,1080,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",B17021_002,62126,2211,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",B19013_001,44092,1036,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",C16002_004,396,160,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",C16002_007,1267,242,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",C16002_010,1653,278,Pittsburgh,PA
4261000,"Pittsburgh city, Pennsylvania",C16002_013,348,117,Pittsburgh,PA
4513330,"Charleston city, South Carolina",B01003_001,131204,245,Charleston,SC
4513330,"Charleston city, South Carolina",B03002_003,94551,1435,Charleston,SC
4513330,"Charleston city, South Carolina",B03002_012,3747,539,Charleston,SC
4513330,"Charleston city, South Carolina",B11016_001,53845,972,Charleston,SC
