city,pop,nhwht,hisp,hh,pov_p,medinc_h,limeng,pct_nwht,pct_hisp,pct_pov_p,pct_limeng_h
Fort Worth,835129,336135,290354,284687,138420,57309,21346,59.75052955890647,34.76756285555884,16.574684869044184,7.498059272112882
Houston,2267336,564663,1008249,838950,472592,49399,118295,75.09575113701719,44.468442259991456,20.843492098215705,14.10036354967519
McAllen,139838,15310,119096,43987,34945,45057,8089,89.05161687095067,85.16712195540555,24.989630858564908,18.389524177597927
San Antonio,1461623,366363,935458,494260,267330,49711,37735,74.93450773557888,64.00131908159628,18.289942071245456,7.634645733015012
Salt Lake City,194188,127943,41439,76876,33750,54009,3735,34.113848435536696,21.33962963725874,17.380064679588852,4.858473385712056
Burlington,42453,35112,1214,16067,8736,47140,413,17.292064165076674,2.859633005912421,20.578051021129248,2.5704860895002177
Richmond,220892,88320,14343,89238,52942,42356,1898,60.01665972511454,6.493218405374572,23.967368668851748,2.1268966135502816
Roanoke,99572,59263,6012,42333,21046,41483,1011,40.482264090306515,6.037841963604226,21.13646406620335,2.388207781163631
Milwaukee,599086,214553,110388,230463,159660,38289,10008,64.18661093732786,18.42606904517882,26.650597743896537,4.342562580544382
"Boston, Cambridge, Somerville, Brookline (and coming soon: Everett)",964492,488399,161000,380223,163789,70121.25737527714,41915,49.362047585672045,16.692725289582494,16.981893058729362,11.023793931456014
"Capital District (Albany, Troy, Schenectady, Saratoga Springs)",241711,142790,22048,96260,48557,47232.61228963225,2858,40.925319906830886,9.121636996247586,20.088866456222515,2.9690421774361107
SF Bay Area,2424915,803668,588646,883293,299516,89389.86560405212,104851,66.8578898641808,24.274912728899775,12.351608200699818,11.870466538283447
Aspen and Basalt,10946,9232,1218,4989,910,67785.7899378633,154,15.658688105243925,11.127352457518729,8.31353919239905,3.08679094006815
